Time for Cap.1 (min);Scattering for Cap.1 ;Time for Cap.1 (min);Cumulant Radius for Cap.1 (nm);Time for Cap.2 (min);Scattering for Cap.2 ;Time for Cap.2 (min);Cumulant Radius for Cap.2 (nm);Time for Cap.3 (min);Scattering for Cap.3 ;Time for Cap.3 (min);Cumulant Radius for Cap.3 (nm);Time for Cap.4 (min);Scattering for Cap.4 ;Time for Cap.4 (min);Cumulant Radius for Cap.4 (nm);Time for Cap.5 (min);Scattering for Cap.5 ;Time for Cap.5 (min);Cumulant Radius for Cap.5 (nm);Time for Cap.6 (min);Scattering for Cap.6 ;Time for Cap.6 (min);Cumulant Radius for Cap.6 (nm);Time for Cap.7 (min);Scattering for Cap.7 ;Time for Cap.7 (min);Cumulant Radius for Cap.7 (nm)
511.052;1093204;511.052;3.725072;511.152;683130.3;511.152;3.528511;510.952;353037.1;510.952;2.081373;511.2354;2692672;521.2354;1920.198;510.8687;7.307727E+08;510.8687;37.14214;511.3354;4.841544E+08;511.3354;55.4779;510.7687;6.590556E+07;510.7687;78.53254
521.052;1230685;521.052;3.916586;521.152;858039.3;521.152;4.468966;520.9687;431482.1;520.9687;12.26438;521.2354;2373221;531.2354;1161.56;520.8687;7.293448E+08;520.8687;37.07768;521.3353;4.708706E+08;521.3353;53.95145;520.7687;7.520659E+07;520.7687;77.42014
531.052;1167928;531.052;4.010741;531.152;683472.5;531.152;3.490505;530.9687;404955;530.9687;3.586242;531.2354;2797789;541.2354;1769.483;530.8687;7.283514E+08;530.8687;38.26767;531.3353;4.530044E+08;531.3353;54.87136;530.7853;7.864225E+07;530.7853;79.44739
541.052;1187059;541.052;3.903992;541.152;709801.4;541.152;3.804192;540.9687;379009;540.9687;3.556905;541.2354;2776186;551.252;1539.072;540.8687;7.527857E+08;540.8687;38.22542;541.3353;4.542653E+08;541.3353;54.7836;540.7853;8.056562E+07;540.7853;80.80274
551.052;1397617;551.052;4.897074;551.152;772260.1;551.152;3.966817;550.9687;949476.9;550.9687;815.6075;551.252;2467963;561.2521;1771.758;550.8687;7.253378E+08;550.8687;37.72353;551.3353;4.607822E+08;551.3353;54.41528;550.7853;5.837773E+07;550.7853;71.26742
561.0521;1270277;561.0521;4.125918;561.1521;708894;561.1521;3.484654;560.9688;402399.2;560.9688;4.215115;561.2521;3284157;571.2521;1307.987;560.8688;7.247941E+08;560.8688;37.8763;561.3354;4.426056E+08;561.3354;53.21321;560.7854;7.660953E+07;560.7854;79.74916
571.0687;1187483;571.0687;3.859262;571.1521;714677.8;571.1521;3.53535;570.9688;396529.4;570.9688;2.913221;571.2521;3382369;581.2354;1692.471;570.8854;7.26993E+08;570.8854;37.66812;571.3354;4.687037E+08;571.3354;55.09555;570.7854;6.66402E+07;570.7854;75.53851
581.0521;1221634;581.0521;3.84352;581.1354;819176.8;581.1354;4.36446;580.9521;394233.2;580.9521;3.133184;581.2354;3658873;591.2354;1448.246;580.8688;7.405937E+08;580.8688;38.52927;581.3187;4.671482E+08;581.3187;54.82924;580.7687;7.703745E+07;580.7687;90.11102
591.0521;1293011;591.0521;4.482262;591.1354;665615.3;591.1354;3.534851;590.9521;341044.6;590.9521;3.346156;591.2354;3443249;601.2354;1522.732;590.8688;7.406277E+08;590.8688;38.29737;591.3187;4.507479E+08;591.3187;55.11652;590.7687;7.287642E+07;590.7687;81.56403
601.0521;1269775;601.0521;4.134101;601.1354;821671.1;601.1354;4.506382;600.9521;405980.3;600.9521;3.338927;601.2354;3371261;611.2354;1408.769;600.8688;7.444764E+08;600.8688;37.62299;601.3187;4.291812E+08;601.3187;53.30214;600.7687;7.12313E+07;600.7687;81.16754
611.0521;1193720;611.0521;3.888542;611.1521;717135.4;611.1521;3.710228;610.9521;313568.9;610.9521;2.01654;611.2354;3489619;621.2354;1056.189;610.8688;7.381412E+08;610.8688;37.72257;611.3354;4.423859E+08;611.3354;54.8345;610.7687;8.148182E+07;610.7687;79.397
621.0521;1257620;621.0521;3.97988;621.1521;820169.8;621.1521;4.266281;620.9688;430579.3;620.9688;3.175583;621.2354;3326347;631.2354;1281.784;620.8688;7.420032E+08;620.8688;38.01085;621.3354;4.485977E+08;621.3354;54.22906;620.7854;8.699964E+07;620.7854;80.34473
631.0521;1218508;631.0521;4.011553;631.1521;792138.6;631.1521;4.179855;630.9688;494378.3;630.9688;4.525285;631.2354;4541733;641.2354;1131.613;630.8688;7.339352E+08;630.8688;38.15534;631.3354;4.713543E+08;631.3354;56.37917;630.7854;7.441667E+07;630.7854;84.41033
641.0521;1288373;641.0521;4.373098;641.1521;762096.3;641.1521;3.716528;640.9688;395976.3;640.9688;3.736759;641.2354;3541543;651.2521;1402.872;640.8688;7.266596E+08;640.8688;38.30022;641.3354;4.567175E+08;641.3354;54.34431;640.7854;6.63263E+07;640.7854;78.31334
651.0521;1178040;651.0521;3.921987;651.1521;765521;651.1521;4.057662;650.9688;344060;650.9688;3.357646;651.2521;3284088;661.2521;2455.052;650.8688;7.29901E+08;650.8688;37.98238;651.3354;4.748815E+08;651.3354;56.85338;650.7854;7.070333E+07;650.7854;80.54349
661.0521;1154306;661.0521;3.890493;661.1521;723719.1;661.1521;3.670661;660.9688;351496.4;660.9688;3.688976;661.2521;3238120;671.2521;1600.153;660.8688;7.399676E+08;660.8688;38.04227;661.3354;4.7249E+08;661.3354;55.51796;660.7854;7.210899E+07;660.7854;82.32728
