tau;amplitude;tau cumulant fit;amplitude cumulant fit;tau size distribution fit;amplitude size distribution fit
0.17367;1.001641;0.17367;1.001285;0.17367;1.001154
0.1802236;1.001653;0.1802236;1.001285;0.1802236;1.001154
0.1867772;1.00167;0.1867772;1.001285;0.1867772;1.001154
0.1933308;1.001684;0.1933308;1.001285;0.1933308;1.001154
0.1998844;1.001642;0.1998844;1.001285;0.1998844;1.001154
0.2031612;0.9989592;0.2031612;1.001285;0.2031612;1.001154
0.2162684;0.9988971;0.2162684;1.001285;0.2162684;1.001154
0.2293756;0.9989492;0.2293756;1.001285;0.2293756;1.001154
0.2424828;0.9988824;0.2424828;1.001285;0.2424828;1.001154
0.25559;0.9988228;0.25559;1.001285;0.25559;1.001154
0.2686972;0.998786;0.2686972;1.001285;0.2686972;1.001154
0.2818044;0.9986652;0.2818044;1.001285;0.2818044;1.001154
0.2949116;0.9984516;0.2949116;1.001285;0.2949116;1.001154
0.3080188;0.998236;0.3080188;1.001285;0.3080188;1.001154
0.321126;0.99824;0.321126;1.001285;0.321126;1.001154
0.3342332;0.9980998;0.3342332;1.001285;0.3342332;1.001154
0.3473404;0.998004;0.3473404;1.001285;0.3473404;1.001154
0.3604476;0.9977968;0.3604476;1.001285;0.3604476;1.001154
0.3735548;0.9975369;0.3735548;1.001285;0.3735548;1.001154
0.386662;0.9975936;0.386662;1.001285;0.386662;1.001154
0.3997692;0.9974638;0.3997692;1.001285;0.3997692;1.001154
